Strike,Ticker,Bid,Ask,Last,IVM,Volm,Strike,Ticker,Bid,Ask,Last,IVM,Volm
4750,SPX 3/19/27 C4750,2319.5,2331.300049,0,29.1529789,0,4750,SPX 3/19/27 P4750,80.80000305,81.59999847,86,30.00704384,0
4775,SPX 3/19/27 C4775,2296.899902,2308.600098,0,28.98545265,0,4775,SPX 3/19/27 P4775,82.40000153,83.19999695,90.30000305,29.8561821,0
4800,SPX 3/19/27 C4800,2275.600098,2287.199951,0,28.82154274,0,4800,SPX 3/19/27 P4800,84,84.80000305,104.5500031,29.69922829,0
4825,SPX 3/19/27 C4825,2252.199951,2263.699951,0,28.66873741,0,4825,SPX 3/19/27 P4825,85.59999847,86.40000153,93.19999695,29.5437336,0
4850,SPX 3/19/27 C4850,2230.800049,2242.199951,0,28.53342056,0,4850,SPX 3/19/27 P4850,87.40000916,88.09999084,91.59999847,29.39351273,0
4875,SPX 3/19/27 C4875,2208,2219.899902,0,28.41773796,0,4875,SPX 3/19/27 P4875,89,89.80000305,93.90000153,29.23894691,0
4900,SPX 3/19/27 C4900,2187.199951,2196.300049,0,28.30273056,0,4900,SPX 3/19/27 P4900,90.69999695,91.5,112.1600037,29.08390999,0
4925,SPX 3/19/27 C4925,2164.100098,2175.300049,0,28.18146133,0,4925,SPX 3/19/27 P4925,92.5,93.30000305,94.23999786,28.93512726,2
4950,SPX 3/19/27 C4950,2141.899902,2153.100098,0,28.03329659,0,4950,SPX 3/19/27 P4950,94.30000305,95.19999695,95.91999817,28.78710365,2
4975,SPX 3/19/27 C4975,2119,2130.399902,0,27.97302628,0,4975,SPX 3/19/27 P4975,96.09999847,97,101.3000031,28.63420868,0
5000,SPX 3/19/27 C5000,2096.699951,2108.199951,2093.780029,27.79432869,0,5000,SPX 3/19/27 P5000,98,98.90000153,98.41000366,28.4837532,12
5025,SPX 3/19/27 C5025,2074.899902,2085.800049,0,27.6616993,0,5025,SPX 3/19/27 P5025,100.1000061,100.8000031,102.4000015,28.33902931,0
5050,SPX 3/19/27 C5050,2053.899902,2064.699951,0,27.51594543,0,5050,SPX 3/19/27 P5050,101.9000015,102.8000031,126.7300034,28.20066071,0
5075,SPX 3/19/27 C5075,2031,2041.699951,0,27.40119934,0,5075,SPX 3/19/27 P5075,104,104.8000031,115.5,28.06322479,0
5100,SPX 3/19/27 C5100,2010.800049,2019.400024,0,27.29741096,0,5100,SPX 3/19/27 P5100,106,106.9000015,106,27.91320419,10
5125,SPX 3/19/27 C5125,1987.199951,1997.699951,0,27.20390701,0,5125,SPX 3/19/27 P5125,108.0999985,109,117.6999969,27.76659966,0
5150,SPX 3/19/27 C5150,1967.099976,1975.599976,0,27.028162,0,5150,SPX 3/19/27 P5150,110.3000031,111.1999969,122.3000031,27.62926674,0
5175,SPX 3/19/27 C5175,1943.699951,1954.099854,0,26.94732857,0,5175,SPX 3/19/27 P5175,112.4000015,113.3000031,138.9299927,27.47946548,0
5200,SPX 3/19/27 C5200,1923.199951,1932,1918.810059,26.76877785,0,5200,SPX 3/19/27 P5200,114.6999969,115.5999985,114.7900009,27.34238815,4
5225,SPX 3/19/27 C5225,1901.199951,1911.5,0,26.68413353,0,5225,SPX 3/19/27 P5225,117,117.9000092,126.1200027,27.20247459,0
5250,SPX 3/19/27 C5250,1880.300049,1888.599976,0,26.55148506,0,5250,SPX 3/19/27 P5250,119.3000031,120.1999969,128.2200012,27.05772591,0
5275,SPX 3/19/27 C5275,1858,1868.199951,0,26.43857002,0,5275,SPX 3/19/27 P5275,121.6999969,122.5999985,143.8099976,26.92167664,0
5300,SPX 3/19/27 C5300,1836.5,1846.899902,0,26.29082489,0,5300,SPX 3/19/27 P5300,124.1999969,125.0999985,133.4299927,26.78576088,1
5325,SPX 3/19/27 C5325,1814.099854,1824.099854,0,26.17357254,0,5325,SPX 3/19/27 P5325,126.6999969,127.6000061,129.8500061,26.64543343,0
5350,SPX 3/19/27 C5350,1794.300049,1802.400024,0,26.04769135,0,5350,SPX 3/19/27 P5350,129.1999969,130.1000061,130.8399963,26.50923729,2
5375,SPX 3/19/27 C5375,1771.800049,1782.300049,0,25.89943504,0,5375,SPX 3/19/27 P5375,131.8000031,132.6999969,130.8699951,26.37565422,0
5400,SPX 3/19/27 C5400,1749.899902,1760.300049,0,25.82661438,0,5400,SPX 3/19/27 P5400,134.5,135.3999939,137.5,26.23821259,15
5425,SPX 3/19/27 C5425,1728.800049,1738.599854,0,25.74183655,0,5425,SPX 3/19/27 P5425,137.1000061,138.1000061,140.3699951,26.10323524,0
5450,SPX 3/19/27 C5450,1708.5,1717.800049,0,25.58748627,0,5450,SPX 3/19/27 P5450,139.8999939,140.8000031,152.8000031,25.9685154,0
5475,SPX 3/19/27 C5475,1686.600098,1696.600098,0,25.49406242,0,5475,SPX 3/19/27 P5475,142.6999969,143.6999969,149.1999969,25.83939934,0
5500,SPX 3/19/27 C5500,1666.699951,1675,1655.47998,25.26786423,0,5500,SPX 3/19/27 P5500,145.6999969,146.6000061,156.6300049,25.70178795,1
5525,SPX 3/19/27 C5525,1644.599854,1654,0,25.24812126,0,5525,SPX 3/19/27 P5525,148.6000061,149.6000061,162.3999939,25.57979965,0
5550,SPX 3/19/27 C5550,1625.099976,1632.699951,0,25.09543037,0,5550,SPX 3/19/27 P5550,151.6000061,152.5,158.6600037,25.43691635,0
5575,SPX 3/19/27 C5575,1602.5,1611.800049,0,24.95784187,0,5575,SPX 3/19/27 P5575,154.6999969,155.6000061,156.5599976,25.3116188,2
5600,SPX 3/19/27 C5600,1583.400024,1590.5,1588.150024,24.86120987,0,5600,SPX 3/19/27 P5600,157.8000031,158.8999939,157.6000061,25.18796158,2
5625,SPX 3/19/27 C5625,1562.199951,1571.099854,0,24.76711082,0,5625,SPX 3/19/27 P5625,161,162.1000061,178,25.05992126,0
5650,SPX 3/19/27 C5650,1542.300049,1549.300049,0,24.64805794,0,5650,SPX 3/19/27 P5650,164.3000031,165.3999939,165.5599976,24.93297768,2
5675,SPX 3/19/27 C5675,1520.699951,1529.699951,0,24.5341301,0,5675,SPX 3/19/27 P5675,167.6000061,168.6999969,173.3999939,24.80548096,0
5700,SPX 3/19/27 C5700,1501,1508,1563.040039,24.41070366,0,5700,SPX 3/19/27 P5700,171,172.1000061,179.25,24.67807961,0
5725,SPX 3/19/27 C5725,1479.599976,1488.5,0,24.28617668,0,5725,SPX 3/19/27 P5725,174.5,175.5,171.6999969,24.54775429,0
5750,SPX 3/19/27 C5750,1460.099976,1466.900024,0,24.16421127,0,5750,SPX 3/19/27 P5750,178,179.1000061,178.6699982,24.42426491,14
5775,SPX 3/19/27 C5775,1438.800049,1447.599976,0,24.06382561,0,5775,SPX 3/19/27 P5775,181.6000061,182.6999969,183.6600037,24.29533386,0
5800,SPX 3/19/27 C5800,1419.400024,1425.800049,1414.469971,23.92049217,0,5800,SPX 3/19/27 P5800,185.3000031,186.3000031,189.5,24.16799736,16
5825,SPX 3/19/27 C5825,1398.100098,1406.900146,0,23.80399323,0,5825,SPX 3/19/27 P5825,189,190.3000031,189.0500031,24.04494667,7
5850,SPX 3/19/27 C5850,1379,1385.599976,0,23.70514107,0,5850,SPX 3/19/27 P5850,192.8999939,193.8999939,234.5399933,23.9212513,0
5875,SPX 3/19/27 C5875,1357.800049,1366.5,0,23.57822609,0,5875,SPX 3/19/27 P5875,196.6999969,197.8000031,188.4400024,23.79395485,0
5900,SPX 3/19/27 C5900,1338.900024,1345.300049,1397.880005,23.47003174,0,5900,SPX 3/19/27 P5900,200.6999969,201.8000031,200.6999969,23.67222404,1
5925,SPX 3/19/27 C5925,1318.099976,1326.300049,1346.400024,23.34770775,0,5925,SPX 3/19/27 P5925,204.6999969,205.8000031,238.8999939,23.54470634,0
5950,SPX 3/19/27 C5950,1299.099976,1305.300049,1354.819946,23.23670006,0,5950,SPX 3/19/27 P5950,208.8999939,209.8999939,215.8000031,23.42337799,0
5975,SPX 3/19/27 C5975,1278.400024,1286.5,0,23.11411095,0,5975,SPX 3/19/27 P5975,212.6000061,214.1000061,201.8000031,23.28820229,0
6000,SPX 3/19/27 C6000,1259.5,1265.699951,1228.97998,22.97986984,0,6000,SPX 3/19/27 P6000,217.3000031,218.3999939,217.3800049,23.16635132,562
6025,SPX 3/19/27 C6025,1239.099976,1246.5,0,22.87124443,0,6025,SPX 3/19/27 P6025,221.5,222.8000031,225.0599976,23.04078102,0
6050,SPX 3/19/27 C6050,1220.199951,1226.300049,0,22.75127792,0,6050,SPX 3/19/27 P6050,226,227.1000061,237.9600067,22.91359711,0
6075,SPX 3/19/27 C6075,1199.900024,1207.699951,0,22.63685417,0,6075,SPX 3/19/27 P6075,230.1000061,231.6000061,281.1799927,22.7803421,0
6100,SPX 3/19/27 C6100,1181.300049,1187.300049,1205.150024,22.51593781,0,6100,SPX 3/19/27 P6100,235.1000061,236.1999969,243.5,22.66950798,8
6125,SPX 3/19/27 C6125,1161.199951,1168.800049,1139.579956,22.40033531,0,6125,SPX 3/19/27 P6125,239.3000031,240.8999939,272.7600098,22.53300095,0
6150,SPX 3/19/27 C6150,1142.599976,1148.5,0,22.26489258,0,6150,SPX 3/19/27 P6150,244.3000031,245.6000061,266.3999939,22.41645432,0
6175,SPX 3/19/27 C6175,1122.699951,1130.199951,0,22.15906715,0,6175,SPX 3/19/27 P6175,249.1000061,250.3999939,267.7999878,22.28822517,12
6200,SPX 3/19/27 C6200,1104.300049,1110.099976,1079,22.02499008,0,6200,SPX 3/19/27 P6200,254.1000061,255.3000031,263.6099854,22.1654644,12
6225,SPX 3/19/27 C6225,1084.599976,1092,1153.47998,21.91118431,0,6225,SPX 3/19/27 P6225,258.7999878,260.2999878,266.8999939,22.0342083,0
6250,SPX 3/19/27 C6250,1067.199951,1069.400146,1087.579956,21.7748127,0,6250,SPX 3/19/27 P6250,263.7999878,265.3999939,295.8599854,21.91064644,0
6275,SPX 3/19/27 C6275,1048.100098,1050.5,1058.400024,21.64677429,0,6275,SPX 3/19/27 P6275,268.8999939,270.5,254.6999969,21.77971077,0
6300,SPX 3/19/27 C6300,1030.099976,1032.300049,1000.960022,21.53504562,0,6300,SPX 3/19/27 P6300,274.1000061,275.7999878,291.980011,21.6540184,0
6325,SPX 3/19/27 C6325,1010.300049,1012.600098,1012.099976,21.40531349,0,6325,SPX 3/19/27 P6325,279.5,281.1000061,279.5700073,21.53134918,4
6350,SPX 3/19/27 C6350,992.7000122,995.0999756,1001.299988,21.28356934,0,6350,SPX 3/19/27 P6350,284.8999939,286.5,277.4599915,21.40383911,0
6375,SPX 3/19/27 C6375,974.2000122,976.5999756,977.9000244,21.16934013,0,6375,SPX 3/19/27 P6375,290.3999939,292,296.8999939,21.27349854,0
6400,SPX 3/19/27 C6400,955.4001465,957.6999512,1060.089966,21.0472908,0,6400,SPX 3/19/27 P6400,296.3999023,297.8000488,296.3999939,21.15520477,300
6425,SPX 3/19/27 C6425,936.5,938.8000488,0,20.92297554,0,6425,SPX 3/19/27 P6425,301.7999878,303.2999878,314.6000061,21.02051544,0
6450,SPX 3/19/27 C6450,919.2999878,921.5999756,0,20.80047226,0,6450,SPX 3/19/27 P6450,307.3999939,309.1000061,296.769989,20.88866043,0
6475,SPX 3/19/27 C6475,900.6999512,903.1999512,0,20.66851807,0,6475,SPX 3/19/27 P6475,313.6000977,315.1000977,302.3399963,20.76371193,0
6500,SPX 3/19/27 C6500,883.2000122,885.2999878,847.0999756,20.55033684,0,6500,SPX 3/19/27 P6500,319.6999512,321.1000977,325.6000061,20.64149094,10
6525,SPX 3/19/27 C6525,865.2000122,867.5,0,20.41967201,0,6525,SPX 3/19/27 P6525,325.6999512,327.1999512,330.7000122,20.50171661,0
6550,SPX 3/19/27 C6550,846.1999512,848.6000977,854.2199707,20.29781723,0,6550,SPX 3/19/27 P6550,332,333.3999023,340.7099915,20.37809944,0
6575,SPX 3/19/27 C6575,828.6999512,831.1000977,0,20.1642437,0,6575,SPX 3/19/27 P6575,337.8999939,339.5,374.1900024,20.24155998,0
6600,SPX 3/19/27 C6600,811.1999512,813.5,811.5,20.03507423,5,6600,SPX 3/19/27 P6600,344.2000122,345.8999939,363.4899902,20.10758591,1
6625,SPX 3/19/27 C6625,793.6999512,796,718.5,19.92003822,0,6625,SPX 3/19/27 P6625,351.1000061,352.3999939,366.9100037,19.99559975,10
6650,SPX 3/19/27 C6650,776.2998047,778.5998535,762.3800049,19.78405762,0,6650,SPX 3/19/27 P6650,357.3999939,359,380.75,19.8535881,0
6675,SPX 3/19/27 C6675,758.6999512,761,766.2700195,19.66897964,0,6675,SPX 3/19/27 P6675,364.1000061,365.7999878,434.519989,19.72190475,0
6700,SPX 3/19/27 C6700,742.8999023,744.5998535,718.6099854,19.53866959,0,6700,SPX 3/19/27 P6700,371.1000061,372.7999878,419.1000061,19.59850502,0
6725,SPX 3/19/27 C6725,725.7999878,727.7999878,699.1599731,19.40792084,1,6725,SPX 3/19/27 P6725,377.7999878,379.6000061,398.9500122,19.45427895,1
6750,SPX 3/19/27 C6750,708.9000244,710.9000244,712.2800293,19.28582001,0,6750,SPX 3/19/27 P6750,384.8999939,386.6000061,403,19.32000923,1
6775,SPX 3/19/27 C6775,692.0999756,694.0999756,771.6699829,19.15073776,0,6775,SPX 3/19/27 P6775,392.1000061,393.7999878,466,19.18653297,0
6800,SPX 3/19/27 C6800,675,676.5,674,19.02771759,350,6800,SPX 3/19/27 P6800,399.7999878,401.2000122,425.7900085,19.06112099,0
6825,SPX 3/19/27 C6825,659,661,657.4400024,18.89591026,4,6825,SPX 3/19/27 P6825,407.2000122,408.7000122,483.1000061,18.92694473,0
6850,SPX 3/19/27 C6850,642.4001465,643.8000488,641.0300293,18.77002525,350,6850,SPX 3/19/27 P6850,414.3999939,416.2999878,420.6000061,18.78585815,0
6875,SPX 3/19/27 C6875,626.0999756,628.2999878,579.4000244,18.63151932,0,6875,SPX 3/19/27 P6875,422.3999939,424.2999878,500.7000122,18.66519928,0
6900,SPX 3/19/27 C6900,610.2000122,612.2000122,583.9500122,18.5104332,0,6900,SPX 3/19/27 P6900,430,432,453.2399902,18.52388573,1
6925,SPX 3/19/27 C6925,594.2000122,596.2000122,570.4400024,18.37693405,1,6925,SPX 3/19/27 P6925,438.1000061,440,461.730011,18.39182091,1
6950,SPX 3/19/27 C6950,578.1999512,579.6999512,519.8300171,18.24137115,0,6950,SPX 3/19/27 P6950,446.2999878,448.2000122,523.3099976,18.25411415,0
6975,SPX 3/19/27 C6975,562.7000122,564.7000122,526.1900024,18.11964798,0,6975,SPX 3/19/27 P6975,454.7999878,456.7000122,437.8900146,18.12482643,0
7000,SPX 3/19/27 C7000,546.6999512,548.4001465,548.2700195,17.98983383,7,7000,SPX 3/19/27 P7000,463.8999023,465.6000977,476.3699951,18.00040054,111
7025,SPX 3/19/27 C7025,531.7000122,533.9000244,471.7799988,17.8528862,0,7025,SPX 3/19/27 P7025,472.6000977,474.3999023,548.3599854,17.86279678,0
7050,SPX 3/19/27 C7050,516.1999512,517.8000488,488.6000061,17.72350693,0,7050,SPX 3/19/27 P7050,480.6000061,482.6000061,515,17.72293663,0
7075,SPX 3/19/27 C7075,501.7000122,503.6000061,445.0599976,17.59923172,0,7075,SPX 3/19/27 P7075,490,491.7999878,518.2999878,17.58907127,5
7100,SPX 3/19/27 C7100,486.3000488,488,452.25,17.46709061,0,7100,SPX 3/19/27 P7100,499.6000977,501.3000488,531.2999878,17.45668411,4
7125,SPX 3/19/27 C7125,472.2000122,474.2000122,479.5,17.33656502,0,7125,SPX 3/19/27 P7125,508.2000122,510.1000061,541.2000122,17.31989861,2
7150,SPX 3/19/27 C7150,457.1999512,458.7998047,435.0400085,17.20367432,40,7150,SPX 3/19/27 P7150,518.0998535,519.7998047,545.2600098,17.19524956,40
7175,SPX 3/19/27 C7175,442.8999023,444.6999512,388.1000061,17.08034325,0,7175,SPX 3/19/27 P7175,527.4000244,529.4000244,500.5299988,17.05304909,0
7200,SPX 3/19/27 C7200,428.6999512,430.3999023,406.5,16.94034386,0,7200,SPX 3/19/27 P7200,537.8000488,539.4001465,575.3400269,16.92085838,0
7225,SPX 3/19/27 C7225,415.5,417.2999878,376.1199951,16.81918335,0,7225,SPX 3/19/27 P7225,548.4001465,549.9001465,548.4000244,16.7931633,0
7250,SPX 3/19/27 C7250,401.1999512,402.8000488,378.269989,16.68975449,0,7250,SPX 3/19/27 P7250,558.1999512,559.8000488,606.6599731,16.66705322,0
7275,SPX 3/19/27 C7275,388.2999878,390,355.269989,16.56487083,0,7275,SPX 3/19/27 P7275,568.2999878,570.2000122,572.9000244,16.52604103,2
7300,SPX 3/19/27 C7300,374.3999023,376.1000977,353.2999878,16.43275261,0,7300,SPX 3/19/27 P7300,579.6999512,581.1999512,584.7000122,16.40301704,282
7325,SPX 3/19/27 C7325,362,363.7999878,378.0299988,16.31014252,0,7325,SPX 3/19/27 P7325,590.6999512,592.1999512,600.5999756,16.27287674,1
7350,SPX 3/19/27 C7350,348.6999512,350.1999512,359.3399963,16.18605614,0,7350,SPX 3/19/27 P7350,601.2000122,603,578,16.1354599,0
7375,SPX 3/19/27 C7375,336.6000061,338.2999878,348.7000122,16.06307793,0,7375,SPX 3/19/27 P7375,613,614.5999756,605.4000244,16.01741219,0
7400,SPX 3/19/27 C7400,323.8999023,325.3000488,325.1199951,15.93080616,4,7400,SPX 3/19/27 P7400,625.3000488,626.8000488,623.4500122,15.88289738,0
7425,SPX 3/19/27 C7425,312.2999878,314,310.7000122,15.81952572,2,7425,SPX 3/19/27 P7425,636.2000122,638,602.7999878,15.76025391,0
7450,SPX 3/19/27 C7450,299.8999023,301.3999023,297.3999939,15.69900513,4,7450,SPX 3/19/27 P7450,648.4000244,650.2000122,631.4000244,15.63203335,0
7475,SPX 3/19/27 C7475,288.8000488,290.3000488,285.2000122,15.58151054,1,7475,SPX 3/19/27 P7475,661.6999512,663.4001465,738.9000244,15.53373241,0
7500,SPX 3/19/27 C7500,277.1000977,278.6000977,276.1000061,15.4578495,13,7500,SPX 3/19/27 P7500,673.5,675.2999878,691.7000122,15.39305592,1
7525,SPX 3/19/27 C7525,266.5,268.1000061,280.5700073,15.3497715,0,7525,SPX 3/19/27 P7525,686.2999878,688.2999878,0,15.27147293,0
7550,SPX 3/19/27 C7550,255.3000031,256.8000488,259.7900085,15.23359203,0,7550,SPX 3/19/27 P7550,699.7000122,701.7000122,0,15.16009235,0
7575,SPX 3/19/27 C7575,245.3000031,246.8000031,240.8000031,15.1224432,0,7575,SPX 3/19/27 P7575,714.4001465,716,0,15.04402351,0
7600,SPX 3/19/27 C7600,234.6999969,236.1000061,233.3099976,15.01720333,0,7600,SPX 3/19/27 P7600,726.7999878,728.9000244,843,14.9249649,0
7625,SPX 3/19/27 C7625,225.1999969,226.6999969,257.9599915,14.90809727,0,7625,SPX 3/19/27 P7625,741.5,743.5999756,0,14.83096695,0
7650,SPX 3/19/27 C7650,215.1999969,216.6000061,182.9700012,14.80133057,0,7650,SPX 3/19/27 P7650,756.1999512,758.8000488,873.9000244,14.72358704,0
7675,SPX 3/19/27 C7675,206.1999969,207.6999969,183.8000031,14.70127773,0,7675,SPX 3/19/27 P7675,771.1000977,773.1999512,0,14.60994244,0
7700,SPX 3/19/27 C7700,196.8000031,198.1999969,167.0700073,14.59741879,0,7700,SPX 3/19/27 P7700,785.6999512,788.1999512,785,14.51214504,300
7725,SPX 3/19/27 C7725,188.3000031,189.8999939,159.7299957,14.50716591,0,7725,SPX 3/19/27 P7725,801.5,803.7998047,0,14.40367603,0
7750,SPX 3/19/27 C7750,179.6000061,181.1999969,168,14.40289879,0,7750,SPX 3/19/27 P7750,816.6999512,819,760.3300171,14.30578136,0
7800,SPX 3/19/27 C7800,163.5,164.8999939,164.5,14.2220068,300,7800,SPX 3/19/27 P7800,848.5,851.1000977,844.3499756,14.10552979,0
7850,SPX 3/19/27 C7850,148.8000031,150,148.3000031,14.0554266,8,7850,SPX 3/19/27 P7850,881.1999512,883.8000488,0,13.92209816,0
7900,SPX 3/19/27 C7900,134.6999969,136,132.8999939,13.89652538,2,7900,SPX 3/19/27 P7900,912.7999878,918.9000244,874.7000122,13.74449635,0
7950,SPX 3/19/27 C7950,122.0999985,123.5,145.8200073,13.7498188,0,7950,SPX 3/19/27 P7950,947.9000244,954.0999756,0,13.56842709,0
8000,SPX 3/19/27 C8000,110.3000031,111.5,99,13.60773182,0,8000,SPX 3/19/27 P8000,984.0999756,990.4000244,965.289978,13.41305923,0
8050,SPX 3/19/27 C8050,99.40000153,100.8000031,108.5,13.47669315,0,8050,SPX 3/19/27 P8050,1021.200012,1027.699951,940.3599854,13.26473618,0
8100,SPX 3/19/27 C8100,89.5,90.90000153,97.73999786,13.3565855,0,8100,SPX 3/19/27 P8100,1059.600098,1067,1020.059998,13.14174461,0
8200,SPX 3/19/27 C8200,72.30000305,73.5,62.06000137,13.14066696,0,8200,SPX 3/19/27 P8200,1138.300049,1146.100098,1283.900024,12.87718773,0
8300,SPX 3/19/27 C8300,58.09999847,59,49.50999832,12.95010662,0,8300,SPX 3/19/27 P8300,1220.100098,1227.900146,0,12.65275192,0
8400,SPX 3/19/27 C8400,46.5,47.40000916,43.77000046,12.7988081,0,8400,SPX 3/19/27 P8400,1304.300049,1312.5,1334.829956,12.42005062,0
8500,SPX 3/19/27 C8500,37.20000076,38,37.79000092,12.68310738,600,8500,SPX 3/19/27 P8500,1390.699951,1399.300049,1421.72998,12.22889614,0
8600,SPX 3/19/27 C8600,29.70000076,30.5,28.20999908,12.59448624,0,8600,SPX 3/19/27 P8600,1479,1487.5,0,12.0121727,0
8700,SPX 3/19/27 C8700,23.79999924,24.5,21.28000069,12.55417347,0,8700,SPX 3/19/27 P8700,1569.400146,1578.199951,0,11.80220604,0
8800,SPX 3/19/27 C8800,19.10000038,19.79999924,20.70999908,12.5,0,8800,SPX 3/19/27 P8800,1660.100098,1670.699951,1664.800049,11.61614799,0
9000,SPX 3/19/27 C9000,12.60000038,13.19999981,11.96000004,12.51517582,0,9000,SPX 3/19/27 P9000,1845.5,1856.199951,1820.849976,11.03289509,0
9200,SPX 3/19/27 C9200,8.5,9.100000381,9.699999809,12.61645699,0,9200,SPX 3/19/27 P9200,2032.400024,2044.5,0,9.712603569,0
9400,SPX 3/19/27 C9400,5.900000095,6.400000095,5.909999847,12.75594997,0,9400,SPX 3/19/27 P9400,2222.5,2234.300049,0,10.77710247,0
9600,SPX 3/19/27 C9600,4.199999809,4.599999905,4.090000153,12.94458103,0,9600,SPX 3/19/27 P9600,2412.5,2424.600098,0,9.164673805,0
9800,SPX 3/19/27 C9800,3,3.400000095,3.799999952,13.1458683,0,9800,SPX 3/19/27 P9800,2602.300049,2615.100098,0,13.96071815,0
10000,SPX 3/19/27 C10000,2.150000095,2.599999905,2.200000048,13.36295891,0,10000,SPX 3/19/27 P10000,2794.600098,2807.800049,2812.01001,12.88922405,0
10200,SPX 3/19/27 C10200,1.599999428,2,1.950000048,13.60045147,0,10200,SPX 3/19/27 P10200,2971.300049,3010.399902,0,12.01156616,0
10400,SPX 3/19/27 C10400,1.049999952,1.649999976,1.389999986,13.80439663,0,10400,SPX 3/19/27 P10400,3163,3202.100098,0,15.85460949,0
10600,SPX 3/19/27 C10600,0.850000024,1.399999976,1.330000043,14.14128876,0,10600,SPX 3/19/27 P10600,3354.800049,3393.899902,0,15.79603767,0
10800,SPX 3/19/27 C10800,0.699999988,1.200000048,0.959999979,14.47793293,0,10800,SPX 3/19/27 P10800,3546.699951,3585.699951,0,20.35424423,0
11000,SPX 3/19/27 C11000,0.25,0.949999988,0.769999981,13.39095497,0,11000,SPX 3/19/27 P11000,3738.600098,3777.699951,0,20.87173271,0
11200,SPX 3/19/27 C11200,0.150000006,0.850000024,0.850000024,14.69965935,0,11200,SPX 3/19/27 P11200,3930.600098,3969.699951,0,21.33589172,0
11400,SPX 3/19/27 C11400,0.349999994,0.75,0.620000005,14.75773811,0,11400,SPX 3/19/27 P11400,4122.600098,4161.700195,0,28.45284843,0
11600,SPX 3/19/27 C11600,0.25,0.699999988,0.589999974,14.84042931,0,11600,SPX 3/19/27 P11600,4314.700195,4353.700195,0,,0
11800,SPX 3/19/27 C11800,0.25,0.649999976,0.75,16.04738998,0,11800,SPX 3/19/27 P11800,4506.700195,4545.799805,0,29.79005623,0
